wypukły, wytrzeszczony  	protuberant
narażać się na…, ściągać na siebie  	incur
czystka  	purge
kompromitacja, hańba, niełaska  	disgrace [dis'grejs]
rozpuścić się, rozpaść się, zakończyć  	dissolve
zróżnicowany, różnorodny  	multifarious
coś koło tego…  	or thereabouts
długa przerwa szkolna  	recess
korytarz  	corridor
konsternacja, trwaoga  	dismay
wyrywać, szzarpać  	wrench
sprężysty  	springy
przygnębiony  	sorrowful
pociągać za sobą, powodować  	entail
bekać  	belch
podsłuchiwać  	eavesdrop
okrucienstwo, zajadłość  	ferosity
chować do kieszeni  	pocket
domagać się głośno czegoś  	clamour for sth
pląsać, baraszkować  	caper [kejper]
dokazywać, baraszkować  	gambolling
młode drapieżnika  	cub
napastliwy  	vicious
gburowaty, opryskliwy, zgryźlliwy  	surly
polubiłem moich nowych kolegów  	I took to my new colleagues
narzucać coś komuś  	inflict sth on sb
cieszę się z jej szczęścia  	I'm happy for her
odwieczna rywalizacja  	long-standing rivalry [ 'rajwelri]
to nie mogło się stać, tak nie miało być  	that wasn't suppose to happen
zatrzymać się  	pull over
wpisywać coś wstępnie (np do kalendarza)  	pencil sth in
tandetny, w złym guście  	tacky
przyszła matka  	mother-to-be
skręcić w ulicę  	turn onto street
jak cię odłączą od stada - już po tobie  	once they isolate you from the herd, it's all over
czasami, od czasu do czasu  	every now and then
bachor, smarkacz  	brat
wariować, wychodzić z siebie z powodu czegoś  	freaking out over sth
to nie czas na oszczędzanie  	this is not the place to be frugal
możesz to sobie wyobrazić?  	can you picture it?
gdzie się wybierasz?  	where are you off to?
niedoskonałość  	inadequacy [ in 'adekłesi]
w skrócie, jednym słowem…  	in a nutshell
zrozumiałem że nie wszystko stracone  	I realized all was not lost
przedstawić coś zwięźle  	put sth in a nutshell
nic dziwnego, że…  	no wonder
zawstydzony, upokorzony  	mortified
przeżywam swoje piekło wciąż na nowo  	I relieve my hell all over again
ustąpić, podporządkować się  	give way
iść spać  	call it a night
