pierce;przebić, przekłuć, dziurawić
cranny;szczelina, szpara
dismal;kiepski, fatalny
flock;stado, gromada
rite;obrzęd, rytuał
stoop;garbić się
mischevious;złośliwy, psotny
nudge;szturchać, trącić łokciem
revert;powracać
tubby;przysadzisty, grubiutki
restless;niespokojny
sincerity;szczerość
venerate;czcić, okazywać szacunek
aloofness;powściągliwość, rezerwa
din;hałas, gwar
fulminate;pomstować, miotać obelgi, zaprotestować
remorselessly;niepowstrzymanie, bezlitośnie
appreciation;wdzięczność, należyte uznanie
vapid;jałowy, bezbarwny, banalny
gloating;chełpliwy, trimfujący, triumfalny
jerk;szarpnięcie, drgnięcie, nagły ruch
untruthfully;kłamliwie, fałszywie
furtively;ukradkiem, potajemnie
scrounge;wyłudzić, wyżebrać
'derisive [ di''rajsiw]';drwiący, szyderczy
it makes me hard, just thinking about it;staje mi, gdy o tym pomyślę
threesome;trójkąt (seksualny)
give sb blow job;robiś komuś laskę (seks)
'don''t let him pressure you into it';nie daj się w to wrobić
ploy, cheap ploy;manewr, sztuczka, tani chwyt
'don''t knock it till you''ve tried it';nie mów, dopóki nie spróbujesz
which is why I have great sex;I dlatego mam wspaniały sex
thong;stringi
he is buttering you up;on się tobie podlizuje
beat off;robić sobie dobrze, walić konia
'I''m flattered';jestem zaszczycony (komplementem)
gee, …;o rany, rety…
infatuated;zadurzony, zauroczony
unhappily married to …;nieszczęśliwie żonaty z …
'he doesn''t turn me on';on mnie nie podnieca
turn sb on with sth;zainteresować kogoś czymś
be turn on;być podniecająca
give off sth;wydzielać, rozsiewać, (np zapach)
vibe;atmosfera, aura
sth so right on,…;coś tak prawdziwego, że…
honcho;(amer.) szef
horny gal;napalona dziewczyna, panienka
fulfill;spełnić
I can swing an hour between meetings;mogę wykroić godzinkę między spotkaniami
should that make me feel better?;mam się od tego poczuć lepiej?
